Company,Country,City,Duration (Mins),Distance (KM),Snow,Tourist_volume_of_cable_car,Cable car Price (SGD),Age_range,Is_Nature,Type_of_trip,is_citizen,PPP,normalized_PPP
Mount Titlis Cable Car: Engelberg to Stand,Switzerland,Lucerne,30,3.02,0,"1,200,000",59.9,2,0,1,0,84649.9399,1
Mount Titlis Cable Car: Engelberg to Titlis,Switzerland,Lucerne,30,3.02,0,"1,200,000",53.91,1,0,0,0,84649.9399,1
Mount Titlis Cable Car: Engelberg to Trubsee,Switzerland,Lucerne,30,3.02,0,"1,200,000",26.96,1,0,0,0,84649.9399,1
Mount Titlis Cable Car: Engelberg to Jochpass,Switzerland,Lucerne,30,3.02,0,"1,200,000",35.19,1,0,0,0,84649.9399,1
Mount Titlis Cable Car: Engelberg to Engstlenalp,Switzerland,Lucerne,30,3.02,0,"1,200,000",43.43,1,0,0,0,84649.9399,1
Mount Titlis Cable Car: Engelberg to Stand,Switzerland,Lucerne,30,3.02,0,"1,200,000",41.93,1,0,0,0,84649.9399,1
Mount Titlis Cable Car: Engelberg to Titlis,Switzerland,Lucerne,30,3.02,0,"1,200,000",51.67,1,0,1,0,84649.9399,1
Mount Titlis Cable Car: Engelberg to Trubsee,Switzerland,Lucerne,30,3.02,0,"1,200,000",19.47,1,0,1,0,84649.9399,1
Mount Titlis Cable Car: Engelberg to Jochpass,Switzerland,Lucerne,30,3.02,0,"1,200,000",25.46,1,0,1,0,84649.9399,1
Mount Titlis Cable Car: Engelberg to Engstlenalp,Switzerland,Lucerne,30,3.02,0,"1,200,000",31.45,1,0,1,0,84649.9399,1
Mount Titlis Cable Car: Engelberg to Stand,Switzerland,Lucerne,30,3.02,0,"1,200,000",29.95,1,0,1,0,84649.9399,1
Matterhorn Paradise - Zermatt - Furi,Switzerland,Zermatt,5,0.8,1,"2,000,000",16.48,2,0,1,0,84649.9399,1
Matterhorn Paradise - Zermatt - Furi,Switzerland,Zermatt,10,1.6,1,"2,000,000",25.5,2,0,0,0,84649.9399,1
Matterhorn Paradise - Zermatt - Furi,Switzerland,Zermatt,5,0.8,1,"2,000,000",8.24,0,0,1,0,84649.9399,1
Matterhorn Paradise - Zermatt - Furi,Switzerland,Zermatt,10,1.6,1,"2,000,000",12.25,4,0,0,0,84649.9399,1
Matterhorn Paradise - Zermatt - Furi,Switzerland,Zermatt,5,0.8,1,"2,000,000",8.24,2,0,1,1,84649.9399,1
Matterhorn Paradise - Zermatt - Furi,Switzerland,Zermatt,10,1.6,1,"2,000,000",12.25,2,0,0,1,84649.9399,1
Matterhorn Paradise - Zermatt - Schwarzsee,Switzerland,Zermatt,18,4.4,1,"2,000,000",46.46,2,0,1,0,84649.9399,1
Matterhorn Paradise - Zermatt - Schwarzsee,Switzerland,Zermatt,36,8.8,1,"2,000,000",71.93,2,0,0,0,84649.9399,1
Matterhorn Paradise - Zermatt - Schwarzsee,Switzerland,Zermatt,18,4.4,1,"2,000,000",23.23,0,0,1,0,84649.9399,1
Matterhorn Paradise - Zermatt - Schwarzsee,Switzerland,Zermatt,36,8.8,1,"2,000,000",35.95,4,0,0,0,84649.9399,1
